city,daytime_average_female_pct_on_active_road_grids,nighttime_average_female_pct_on_active_road_grids,daytime_weighted_female_pct,nighttime_weighted_female_pct,female_day_footprint_area_km2,male_day_footprint_area_km2,female_night_footprint_area_km2,male_night_footprint_area_km2,active_day_road_grids,active_night_road_grids,gii_group,region,female_footprint_share_day_pct,female_footprint_share_night_pct,night_lower_than_day,footprint_share_change_pp
Singapore,9.472760538327355,6.834213580722541,10.876158175805871,9.32640903946504,287.80000000000564,385.8400000000054,238.5600000000039,345.2000000000005,9728,8668,Low GII,Southeast Asia,42.72311620450106,40.86610936001132,True,-1.8570068444897387
Seoul,7.864686334458687,6.600693816924247,10.140660585722976,6.0448991035429005,174.5199999999977,339.2399999999912,109.35999999999764,247.03999999999743,8562,6272,Low GII,East Asia,33.96916848333881,30.684624017957116,True,-3.2845444653817
HongKong,16.877955511838884,14.187737697265565,16.069671853541628,16.305799899050434,171.2794198535094,247.91469063830647,101.1297237464281,165.91860112529798,6419,4240,Low GII,East Asia,40.85921427964656,37.86944696058465,True,-2.9897673190619045
Dubai,7.362015424055995,7.982268768625012,16.132907071350004,10.43844167658508,139.9999999999929,331.5599999999928,55.84000000000047,203.9199999999963,8390,5249,Low GII,Middle East,29.688692849265657,21.496766245765773,True,-8.191926603499883
Brisbane,13.304596615987144,15.119868860698269,15.510179612790258,15.31614688399018,599.4800000000002,1012.5200000000176,427.71999999999207,777.0399999999844,26316,20440,Low GII,Pacific,37.18858560794005,35.50250672333082,True,-1.6860788846092305
Melbourne,9.846933177618943,7.041944277622347,10.56105439377134,9.096298638259194,935.5199999999984,1675.7999999999988,302.6799999999822,965.8400000000128,42816,24769,Low GII,Pacific,35.8255594871559,23.8608772427698,True,-11.964682244386104
Sydney,10.389426835441132,8.70660816645671,14.730892701466653,14.587533791913309,569.4799999999882,993.520000000024,249.6400000000193,635.7600000000142,25287,16347,Low GII,Pacific,36.43506078054919,28.19516602665573,True,-8.239894753893452
Osaka,4.063467625188384,1.2874303843551622,3.810176804161574,6.5477069291612695,38.56000000000918,183.3200000000075,9.719999999997452,118.80000000000064,4668,2971,Low GII,East Asia,17.378763295477864,7.563025210082164,True,-9.8157380853957
Auckland,9.472184857688516,10.625177731828384,15.324240512800284,12.275926234850496,247.00000000003385,439.9999999999708,68.12000000000293,196.7199999999952,11181,5106,Medium GII,Pacific,35.95342066958256,25.721190152546225,True,-10.232230517036331
Chengdu,3.3868043233275325,0.9873962671014728,3.3312024444029413,1.942633963588156,170.199999999976,592.9599999999632,42.5200000000051,309.0399999999755,14909,7739,Medium GII,East Asia,22.302007442736723,12.094663784277916,True,-10.207343658458807
Shanghai,5.073178173467214,6.296566166911664,7.473285231527995,9.586623726121674,50.95999999999888,135.5599999999965,30.32000000000036,111.40000000000208,3394,2837,Medium GII,East Asia,27.321466866824007,21.394298616991133,True,-5.927168249832874
Shenzhen,12.064505287560282,0.482736559749327,3.9619963874672335,2.189073588285212,25.88686620765363,71.29124092191665,3.3594134093337504,29.79769454392007,1932,746,Medium GII,East Asia,26.63857835092214,10.13180466182389,True,-16.506773689098246
KualaLumpur,10.264689468388656,5.402539609039712,17.86710748499646,14.210496411869988,101.80000000000724,178.52000000000567,48.280000000003895,138.20000000000627,4539,3488,Medium GII,Southeast Asia,36.315639269407306,25.89017589017657,True,-10.425463379230736
Doha,0.91491209014531,14.309040982793055,1.5468456726954722,4.703966292630514,5.280000000000083,49.84000000000049,28.11999999999972,54.680000000000064,1246,1456,Medium GII,Middle East,9.579100145137932,33.96135265700458,False,24.38225251186665
Riyadh,1.6488115455247268,4.0211861677168415,5.892159998805922,6.832271045854056,13.95999999999884,157.3199999999943,12.36000000000055,74.96000000000035,3954,1905,Medium GII,Middle East,8.15039701074229,14.15483279890108,False,6.004435788158789
BandarSeriBegawan,5.270451271308758,3.635911219794901,10.926522746758716,9.128687464653984,21.680000000001325,61.960000000002246,5.519999999998944,34.48000000000104,1551,872,Medium GII,Southeast Asia,25.92061214729842,13.799999999997366,True,-12.120612147301054
Ulaanbaatar,19.1728612031648,4.651162790697675,34.464285714285715,24.24242424242424,13.440000000003204,35.87999999999623,0.2400000000003375,4.919999999998313,1029,129,High GII,South/Central Asia,27.250608272512896,4.651162790705431,True,-22.599445481807464
Bangkok,6.9831932144815685,9.179476696353852,18.517397213432336,19.68540529926053,133.48000000000633,407.8000000000062,65.48000000000214,188.400000000006,10352,4789,High GII,Southeast Asia,24.66006503103814,25.79171262013552,False,1.1316475890973765
Toshkent,2.725717134209312,1.5955468434727569,11.826150261942663,10.199146713727384,2.079999999999692,29.36000000000267,0.5200000000000237,12.880000000006888,748,323,High GII,South/Central Asia,6.615776081423459,3.880597014923548,True,-2.7351790664999114
HoChiMinh,14.760150843693609,11.996908862806968,18.19945467249088,16.600371072126,295.6800000000015,527.4399999999954,236.9999999999954,429.2799999999913,13854,11035,High GII,Southeast Asia,35.92185829526711,35.57063096596028,True,-0.3512273293068304
Manila,5.574640362247909,4.807855481157231,5.269334463205657,11.472566217561168,22.11999999999884,54.35999999999899,16.279999999998076,48.99999999999909,1375,1235,High GII,Southeast Asia,28.92259414225872,24.938725490194216,True,-3.983868652064501
Mumbai,5.095063443094383,3.248306296314755,8.151726732668171,4.912665717109447,67.99999999999743,167.84000000000327,26.07999999999911,100.59999999999496,4226,2539,High GII,South/Central Asia,28.83310719131497,20.5873065993056,True,-8.245800592009367
Jakarta,6.289745045322323,3.966221483290867,14.671056228759465,12.39191427623422,175.44000000000773,354.7999999999983,73.44000000000686,243.7600000000083,8972,6167,High GII,Southeast Asia,33.0869040434531,23.15258511979929,True,-9.934318923653812
Tehran,13.685599491278111,11.44741098353024,30.401151547755795,25.35277701348217,78.27999999999902,174.559999999995,20.320000000003525,57.76000000000386,4463,1495,High GII,Middle East,30.96029109318181,26.02459016393648,True,-4.935700929245328
Dhaka,0.5765659004707869,0.065843310520577,1.1487047281043945,0.8324287965913205,9.239999999998316,134.55999999999997,2.0400000000000587,102.59999999999766,3366,2565,High GII,South/Central Asia,6.425591098747168,1.949541284403768,True,-4.4760498143434
