model,term,type,estimate,se,t_value,p_value,abs_t,edf,sig_stars
full_log_female_night,ssx_choice_r5000_z,parametric,0.0717651831806408,0.00291074344882616,24.6552760290784,4.43113548724042e-134,24.6552760290784,NA,***
full_log_female_night,NDVI_mean_z,parametric,-0.108872295,0.00476912644306082,-22.82856126,3.01134657028094e-115,22.8285612583651,NA,***
full_log_female_night,walkability_global_z,parametric,0.137953793002905,0.00331428553970003,41.6239914607331,0,41.6239914607331,NA,***
full_log_female_night,built_density_2020_z,parametric,-0.028048929,0.0043583354531668,-6.435697587,1.23096214726003e-10,6.43569758736913,NA,***
full_log_female_night,gdp_2022_z,parametric,0.0915677015485126,0.00323567393048914,28.299421856352,6.07541139746274e-176,28.299421856352,NA,***
full_log_female_night,Pop_Female_20_50_z,parametric,-0.206479967,0.00452438240850161,-45.63716067,0,45.6371606696782,NA,***
full_log_female_night,Female_Employment_Rate_15plus_z,parametric,0.2245040157043,0.140670680931101,1.59595456720836,0.11050001605186,1.59595456720836,NA,
full_log_female_night,ppl35prop_z,parametric,0.111685306286562,0.00538026852809976,20.7583145159499,1.20899357059203e-95,20.7583145159499,NA,***
full_log_female_night,SDG11_71pct_z,parametric,0.304671670291426,0.11638634139113,2.61776138548373,0.00885132230762906,2.61776138548373,NA,**
full_log_female_night,SDG_3_1_Maternal_mortality_ratio_z,parametric,0.129122665891182,0.141449552408001,0.912853124616025,0.361320545103511,0.912853124616025,NA,
full_log_female_night,SDG_3_7_Adolescent_birth_rate_z,parametric,0.285155513953562,0.135455597652095,2.1051585825634,0.035278355448647,2.1051585825634,NA,*
full_log_female_night,SDG_5_5_Share_of_seats_in_parliament_z,parametric,-0.316495719,0.119605979925417,-2.646152967,0.00814173422460476,2.64615296682908,NA,**
full_log_female_night,SDG_4_4_Education_F_z,parametric,0.213451876908898,0.124522820894771,1.71415870099246,0.0865006413432825,1.71415870099246,NA,
full_log_female_night,tavg_night_z,parametric,0.104961254577014,0.00933297115711746,11.2462851122142,2.44925245234928e-29,11.2462851122142,NA,***
full_log_female_night,prcp_night_z,parametric,0.0196309036545848,0.00375990900311255,5.22111137219912,1.77973531600226e-07,5.22111137219912,NA,***
full_log_female_night,wspd_night_z,parametric,-0.011804095,0.0066115794477041,-1.785366918,0.0742028553168413,1.78536691829381,NA,
full_log_female_night,pres_night_z,parametric,0.00740071586785055,0.00487005045408859,1.51963843857867,0.128602950947034,1.51963843857867,NA,
full_log_female_night,rhum_night_z,parametric,-0.02653365,0.00526135425398182,-5.043121729,4.5827018827941e-07,5.043121729,NA,***
full_log_female_night,Safety_Walk_Night_z,parametric,-0.404487619,0.101605343833377,-3.980967971,6.86517311805999e-05,3.98096797102218,NA,***
full_log_female_night,ulpi_z,parametric,-0.018846238,0.0929325875821848,-0.202794717,0.839295628443531,0.202794716719001,NA,
full_log_female_night,ntl_alpha_z,parametric,0.160875749490265,0.101677168857094,1.58222097741897,0.113600212808245,1.58222097741897,NA,
full_log_female_night,ntl_D_z,parametric,-0.327823123,0.148392841325621,-2.20915726,0.0271644754632652,2.20915726010509,NA,*
full_log_female_night,ntl_c_z,parametric,-0.140204646,0.102520877138734,-1.367571661,0.171447241480006,1.36757166054529,NA,
full_log_female_night,is_weekend,parametric,-0.13193132,0.00693951128220426,-19.01161543,1.52880261139241e-80,19.0116154299859,NA,***
full_log_female_night,s(ntl_mean),smooth,NA,NA,435.760231139712,0,435.760231139712,6.89151900284307,***
full_log_female_night,s(date_num),smooth,NA,NA,8.94306899929426,1.3584948596046e-06,8.94306899929426,3.60828817942883,***
full_log_female_night,s(city_fac),smooth,NA,NA,80.7248376320818,0,80.7248376320818,12.1194125743439,***
full_log_male_night,ssx_choice_r5000_z,parametric,0.191426739017667,0.00161731709773474,118.360672304636,0,118.360672304636,NA,***
full_log_male_night,NDVI_mean_z,parametric,-0.152427517,0.00267054501558478,-57.07730657,0,57.077306571967,NA,***
full_log_male_night,walkability_global_z,parametric,0.188031350657111,0.00181510388641993,103.592610904481,0,103.592610904481,NA,***
full_log_male_night,built_density_2020_z,parametric,-0.109156272,0.00239790735434992,-45.52147181,0,45.5214718104605,NA,***
full_log_male_night,gdp_2022_z,parametric,0.093720348892553,0.0019912888950572,47.0651692605661,0,47.0651692605661,NA,***
full_log_male_night,Pop_Female_20_50_z,parametric,-0.30360623,0.00258047719320008,-117.6550718,0,117.655071847619,NA,***
full_log_male_night,Female_Employment_Rate_15plus_z,parametric,0.211907467107386,0.130417547663008,1.62483861186337,0.104197233680361,1.62483861186337,NA,
full_log_male_night,ppl35prop_z,parametric,0.203210642039423,0.00201064820520746,101.067228724109,0,101.067228724109,NA,***
full_log_male_night,SDG11_71pct_z,parametric,0.39478695446694,0.105619158762712,3.73783467972778,0.000185621174132025,3.73783467972778,NA,***
full_log_male_night,SDG_3_1_Maternal_mortality_ratio_z,parametric,0.0777494311200534,0.135248395167447,0.574863982850178,0.565383406192526,0.574863982850178,NA,
full_log_male_night,SDG_3_7_Adolescent_birth_rate_z,parametric,-0.010508395,0.120767619535545,-0.087013345,0.930660920246701,0.0870133449067452,NA,
full_log_male_night,SDG_5_5_Share_of_seats_in_parliament_z,parametric,0.00699728183215132,0.112144817459798,0.062395053027392,0.950248245569198,0.062395053027392,NA,
full_log_male_night,SDG_4_4_Education_F_z,parametric,-0.203544053,0.106206643588444,-1.916490774,0.0553029114894197,1.91649077395986,NA,
full_log_male_night,tavg_night_z,parametric,0.0791924031036001,0.00470758160534118,16.8223112720445,1.70547007156964e-63,16.8223112720445,NA,***
full_log_male_night,prcp_night_z,parametric,0.0110476425240892,0.00187432471040136,5.89419883480245,3.76611169087148e-09,5.89419883480245,NA,***
full_log_male_night,wspd_night_z,parametric,-0.0175603,0.00329313921872418,-5.332389327,9.69476151920793e-08,5.33238932682404,NA,***
full_log_male_night,pres_night_z,parametric,0.0011388225870844,0.00242350884803278,0.469906510970159,0.638421904124363,0.469906510970159,NA,
full_log_male_night,rhum_night_z,parametric,-0.032877047,0.0026941702296529,-12.20303237,3.00971101017969e-34,12.2030323683018,NA,***
full_log_male_night,Safety_Walk_Night_z,parametric,-0.382192989,0.0957897745945729,-3.989914274,6.61013930104147e-05,3.98991427447288,NA,***
full_log_male_night,ulpi_z,parametric,0.113855703584444,0.0850294323827775,1.33901521383678,0.1805659928107,1.33901521383678,NA,
full_log_male_night,ntl_alpha_z,parametric,-0.012244125,0.0956864817716663,-0.127960869,0.898179963685665,0.127960868719845,NA,
full_log_male_night,ntl_D_z,parametric,-0.235691345,0.137604362893181,-1.712818838,0.0867461510098717,1.71281883824017,NA,
full_log_male_night,ntl_c_z,parametric,-0.160916999,0.0971816428463899,-1.655837404,0.0977550319270161,1.6558374037028,NA,
full_log_male_night,is_weekend,parametric,-0.078828484,0.00364841940017479,-21.60620125,1.64937645042023e-103,21.6062012494868,NA,***
full_log_male_night,s(ntl_mean),smooth,NA,NA,2359.47859157851,0,2359.47859157851,6.95028020358348,***
full_log_male_night,s(date_num),smooth,NA,NA,86.3344654894644,0,86.3344654894644,3.91903150725863,***
full_log_male_night,s(city_fac),smooth,NA,NA,886.280553886761,0,886.280553886761,12.9202553740475,***
